TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
EALT3;10.80;4.27;4.48;0.96;0.43;25.12;12.16;10.53;3.88;5.83;1.82;0.45;0.47;9.75;-0.72;1.12;21.53;9.50;14.81;0.44;0.56;0.90;14.94;34.67;5.272.00;11.20;2.41;0.08;251.160.000.00
EALT4;11.44;4.44;4.74;1.02;0.45;25.12;12.16;10.53;4.11;5.83;1.82;0.45;0.50;10.32;-0.76;1.12;21.53;9.50;14.81;0.44;0.56;0.90;14.94;34.67;82.721.89;11.20;2.41;0.08;251.160.000.00
EEEL3;294.77;;4.70;1.41;0.48;61.19;54.12;32.40;2.81;4.62;1.80;0.90;1.52;3.71;-0.61;2.49;30.08;10.23;19.55;0.34;0.66;0.32;12.36;28.25;;208.50;62.71;-0.15;2.840.511.499.76
EEEL4;410.00;;6.54;1.97;0.67;61.19;54.12;32.40;3.91;4.62;1.80;0.90;2.12;5.15;-0.85;2.49;30.08;10.23;19.55;0.34;0.66;0.32;12.36;28.25;;208.50;62.71;-0.21;2.840.511.499.76
EUCA3;16.26;3.63;3.78;0.61;0.36;33.23;14.43;15.10;3.95;5.50;1.56;0.24;0.57;2.23;-0.56;1.83;16.18;9.58;9.67;0.59;0.41;0.63;16.23;68.94;7.782.39;26.60;4.30;0.06;1.499.239.331.40
EUCA4;16.15;4.02;3.75;0.61;0.36;33.23;14.43;15.10;3.93;5.50;1.56;0.24;0.57;2.21;-0.56;1.83;16.18;9.58;9.67;0.59;0.41;0.63;16.23;68.94;866.759.11;26.60;4.30;0.06;1.499.239.331.40
JHSF3;3.99;9.51;5.24;0.55;0.23;59.25;63.21;33.10;2.74;5.42;2.67;0.53;1.73;1.29;-0.33;2.33;10.44;4.32;8.10;0.41;0.55;0.13;26.82;23.21;18.615.329.91;7.30;0.76;-0.75;2.710.520.878.59
JSLG3;10.00;3.17;7.99;1.69;0.20;18.17;16.45;4.44;2.15;6.44;4.29;3.36;0.35;0.84;-0.35;2.42;21.11;2.55;11.57;0.12;0.88;0.57;-1.27;22.26;3.958.471.14;5.93;1.25;0.09;2.864.310.780.00
KEPL3;10.15;10.03;7.15;2.34;1.30;29.87;19.92;16.26;5.83;5.36;-0.48;-0.19;1.16;4.17;-3.72;1.92;32.72;18.15;25.77;0.55;0.45;1.12;21.28;98.56;9.552.667.20;4.34;1.42;-0.29;1.824.159.319.50
LEVE3;33.35;23.96;5.69;2.88;1.44;30.46;21.81;18.29;4.77;4.75;-0.02;-0.01;1.04;4.66;-4.07;1.91;50.65;25.23;33.41;0.50;0.50;1.38;13.28;27.34;11.049.077.37;11.57;5.86;0.14;4.520.225.650.00
LJQQ3;4.09;;8.31;1.29;0.24;34.76;7.07;3.96;4.65;5.65;1.00;0.28;0.33;0.95;-0.67;1.67;15.46;2.93;14.81;0.19;0.81;0.74;15.23;37.63;12.803.060.35;3.18;0.49;-0.02;797.847.387.99
MOAR3;395.00;6.50;6.28;3.18;1.50;;;;4.59;4.05;-0.54;-0.37;;3.82;-3.20;3.76;50.60;23.83;32.02;0.47;0.53;0.00;;40.43;234.249.00;124.41;62.95;0.03;4.839.232.295.00
MTSA3;78.55;1.40;9.75;1.55;1.25;24.25;11.31;13.83;11.92;6.91;-2.23;-0.29;1.35;2.07;-5.59;4.52;15.85;12.82;8.68;0.81;0.19;0.93;16.17;34.09;15.680.00;50.82;8.06;-0.39;529.224.307.50
MTSA4;43.33;2.79;5.38;0.85;0.69;24.25;11.31;13.83;6.58;6.91;-2.23;-0.29;0.74;1.14;-3.08;4.52;15.85;12.82;8.68;0.81;0.19;0.93;16.17;34.09;468.039.26;50.82;8.06;-0.21;529.224.307.50
NAFG3;64.37;;11.80;2.76;1.15;41.15;16.49;9.34;6.68;5.06;1.17;0.48;1.10;3.20;-2.87;2.52;23.42;9.77;15.89;0.42;0.58;1.05;7.87;35.19;;23.30;5.46;-1.14;508.315.292.42
NAFG4;19.02;;3.49;0.82;0.34;41.15;16.49;9.34;1.97;5.06;1.17;0.48;0.33;0.94;-0.85;2.52;23.42;9.77;15.89;0.42;0.58;1.05;7.87;35.19;;23.30;5.46;-0.34;508.315.292.42
NEMO5;52.97;2.33;14.42;2.86;0.26;34.61;27.57;6.70;3.50;5.74;5.74;4.68;0.97;1.56;-0.34;2.89;19.82;1.77;7.12;0.09;0.69;0.26;24.23;90.81;;18.54;3.67;-0.29;0.00
RANI3;8.90;8.30;6.26;1.67;0.62;41.24;31.72;21.71;4.28;6.34;2.06;0.80;1.36;2.57;-0.92;3.75;26.66;9.84;13.63;0.37;0.63;0.45;11.31;157.54;6.275.865.49;5.34;1.42;-2.76;2.134.486.279.10
RANI4;5.50;;3.87;1.03;0.38;41.24;31.72;21.71;2.65;6.34;2.06;0.80;0.84;1.59;-0.57;3.75;26.66;9.84;13.63;0.37;0.63;0.45;11.31;157.54;;5.34;1.42;-1.71;2.134.486.279.10
RAPT3;9.85;5.91;9.50;1.13;0.24;25.51;10.91;3.17;2.76;5.68;2.58;1.05;0.30;0.86;-0.59;1.89;11.87;2.52;8.64;0.21;0.70;0.79;20.63;17.61;474.912.38;8.73;1.04;-0.36;3.643.997.961.33
RAPT4;11.73;4.96;11.32;1.34;0.29;25.51;10.91;3.17;3.29;5.68;2.58;1.05;0.36;1.02;-0.70;1.89;11.87;2.52;8.64;0.21;0.70;0.79;20.63;17.61;25.411.552.34;8.73;1.04;-0.43;3.643.997.961.33
ROMI3;10.89;6.84;7.03;0.85;0.43;28.81;12.03;12.41;7.25;10.38;3.13;0.37;0.87;1.36;-1.10;2.06;12.06;6.09;6.71;0.50;0.49;0.49;10.54;11.44;2.100.541.54;12.84;1.55;-0.20;1.014.629.434.83
RSUL4;64.89;3.28;7.17;1.93;1.01;42.74;24.47;15.70;4.60;1.21;-0.68;-0.28;1.13;3.36;-2.24;2.23;26.89;14.15;26.27;0.53;0.47;0.90;18.65;35.49;136.440.94;33.65;9.05;-0.37;161.915.150.25
SCAR3;22.10;;4.57;0.75;0.37;48.51;38.39;21.50;2.56;4.87;2.31;0.68;0.98;2.53;-0.50;2.38;16.49;8.14;14.04;0.49;0.50;0.38;30.55;77.96;256.055.17;29.36;4.84;-0.01;1.275.994.749.90
SHOW3;1.61;;2.57;0.61;0.25;21.38;12.76;8.59;1.73;1.11;-0.62;-0.22;0.22;2.92;-0.50;1.21;23.80;9.82;23.97;0.41;0.58;1.14;3.21;38.18;257.408.00;2.63;0.63;0.00;108.534.332.69
SOJA3;15.39;6.15;5.81;2.07;0.79;16.01;12.85;17.63;7.97;8.38;0.40;0.10;1.02;2.32;-2.57;1.97;35.57;13.60;7.99;0.38;0.44;0.77;46.18;118.58;7.573.594.29;7.44;2.65;0.05;2.082.607.796.16
SOMA3;6.24;1.41;3.10;0.84;0.51;56.80;-46.46;29.33;-1.96;-2.41;-0.45;0.19;0.91;2.11;-0.88;2.36;27.15;16.44;-46.41;0.61;0.39;0.56;37.72;80.87;49.673.650.97;7.40;2.01;0.01;4.896.823.607.52
TECN3;6.12;2.49;6.86;1.02;0.63;55.23;17.94;17.00;6.50;6.14;-0.36;-0.06;1.17;1.23;-1.78;4.94;14.89;9.24;10.32;0.62;0.38;0.54;2.29;32.68;2.844.296.60;5.99;0.89;0.30;405.182.035.80
TGMA3;24.18;5.34;8.66;1.83;1.31;19.88;14.27;11.25;6.83;6.29;-0.54;-0.14;0.98;3.55;-2.68;3.55;21.11;15.07;16.71;0.71;0.28;1.34;4.78;11.22;5.885.436.66;13.22;2.79;1.67;1.595.950.484.70
TUPY3;25.66;2.62;7.78;1.07;0.34;16.98;7.21;4.26;4.59;7.52;2.93;0.68;0.33;1.08;-0.90;2.07;13.71;4.43;9.87;0.32;0.68;1.04;18.68;11.85;14.141.238.40;24.08;3.30;-0.45;3.699.594.650.00
VLID3;16.44;10.53;4.46;0.87;0.49;35.94;22.18;13.65;2.74;2.99;0.25;0.08;0.61;1.43;-1.05;2.82;19.60;11.04;18.86;0.56;0.43;0.81;5.40;24.70;5.975.796.23;18.80;3.69;0.02;1.345.390.005.00
VULC3;15.62;18.89;8.58;2.14;1.48;41.86;19.21;17.58;7.85;7.58;-0.27;-0.07;1.51;3.03;-5.40;3.04;24.97;17.20;20.75;0.69;0.31;0.98;17.67;26.87;8.559.266.06;7.29;1.82;93.38;4.290.130.531.28
WLMM3;25.51;2.60;7.91;1.28;1.05;11.50;6.34;4.28;5.34;5.90;-0.17;-0.04;0.34;2.25;-2.45;5.56;16.12;13.30;16.62;0.82;0.17;3.11;25.90;48.84;6.398.20;20.00;3.22;-1.88;1.055.737.877.20
WLMM4;31.90;2.29;9.89;1.59;1.32;11.50;6.34;4.28;6.68;5.90;-0.17;-0.04;0.42;2.81;-3.07;5.56;16.12;13.30;16.62;0.82;0.17;3.11;25.90;48.84;25.164.84;20.00;3.22;-2.36;1.055.737.877.20
